image,caption
COCO_train2014_000000453219.jpg,"The young man and woman are all dressed up"
COCO_train2014_000000453219.jpg,"A man and a woman in dressy attire"
COCO_train2014_000000453219.jpg,"A couple formally dressed up in a long dress and black suit ."
COCO_train2014_000000459343.jpg,"A train on at track sitting at a station ."
COCO_train2014_000000459343.jpg,"The metro train is running during the night time ."
COCO_train2014_000000459343.jpg,"A passenger train is traveling on train tracks at night ."
COCO_train2014_000000459343.jpg,"A empty train track next to a train ."
COCO_train2014_000000459343.jpg,"Series of lights coming off of a passenger train at night ."
COCO_train2014_000000297304.jpg,"a long red train is on some tracks"
COCO_train2014_000000297304.jpg,"A train sitting parked on the tracks near a building ."
COCO_train2014_000000297304.jpg,"A train is on a track traveling down the track ."
COCO_train2014_000000297304.jpg,"Two trains parked in front of a light brown building ."
COCO_train2014_000000297304.jpg,"there are many small red trains on these tracks"
COCO_train2014_000000276572.jpg,"Two small children are skiing in the snow ."
COCO_train2014_000000276572.jpg,"Children in snow suits practice skiing on a flat snowy surface ."
COCO_train2014_000000276572.jpg,"Two children with helmets on are skiing on a flat slope ."
COCO_train2014_000000276572.jpg,"Two children wearing helmets are skiing through the snow ."
COCO_train2014_000000276572.jpg,"Two children skiing out in the snow together ."
COCO_train2014_000000464921.jpg,"THIS IS A CLOSE UP PICTURE OF A MAN IN A SUIT"
COCO_train2014_000000464921.jpg,"Man in shirt and tie looking apathetic in office ."
COCO_train2014_000000464921.jpg,"A man in a black tie and a shirt ."
COCO_train2014_000000464921.jpg,"A closeup of a man with a tie and a thick beard ."
COCO_train2014_000000464921.jpg,"Man wearing shirt and black tie standing in room with plenty of lighting ."
COCO_train2014_000000250204.jpg,"a wet stuffed animal on the sand and water"
COCO_train2014_000000250204.jpg,"A teddy bear sitting in the sand near the water ."
COCO_train2014_000000250204.jpg,"A wet old teddy bear in the sand on a beach ."
COCO_train2014_000000250204.jpg,"Old stuffed bear sitting on a beach near waves ."
COCO_train2014_000000250204.jpg,"a stuffed animal on a beach near the water"
COCO_train2014_000000222383.jpg,"A street sign written in bot Chinese and English"
COCO_train2014_000000222383.jpg,"A couple of street signs over a city road ."
COCO_train2014_000000222383.jpg,"A street sign with a no left turn on it ."
COCO_train2014_000000222383.jpg,"A traffic signs dn street sign with a structure in the background ."
COCO_train2014_000000222383.jpg,"A busy intersection in a city that displays a No Left Turn sign"
COCO_train2014_000000479531.jpg,"A stop sign with a railroad crossing sign on top"
COCO_train2014_000000479531.jpg,"A railway crossing sign sitting next to the train tracks"
COCO_train2014_000000479531.jpg,"There are several signs near the railroad tracks ."
COCO_train2014_000000479531.jpg,"A railway crossing and stop sign by railroad tracks"
COCO_train2014_000000479531.jpg,"Several signs stand at a railroad crossing , urging drivers to stop and look for trains ."
COCO_train2014_000000474067.jpg,"A man riding a motorcycle down a road ."
COCO_train2014_000000474067.jpg,"A man rides a motorcycle on the street ."
COCO_train2014_000000474067.jpg,"A person wearing a helmet riding a red minibike ."
COCO_train2014_000000474067.jpg,"A man riding a red motorcycle wearing a red helmet ."
COCO_train2014_000000474067.jpg,"Man on a motorcycle riding past two women on bicycles ."
COCO_train2014_000000092188.jpg,"there is a birthday cake on top of a pink table"
COCO_train2014_000000092188.jpg,"a table with a cloth and cake with people sitting in chairs around it"
COCO_train2014_000000092188.jpg,"A birthday party with a cake is being held for a dog ."
COCO_train2014_000000092188.jpg,"A cake and party supplies are arranged on a table with pink tablecloth ."
COCO_train2014_000000092188.jpg,"The dog is being held next to a cake on the round table ."
COCO_train2014_000000272310.jpg,"a building with two fighter airplanes parked around a roped area"
COCO_train2014_000000272310.jpg,"A woman is lying down and taking a picture of the plane"
COCO_train2014_000000272310.jpg,"a couple of cool looking airplanes parked inside"
COCO_train2014_000000272310.jpg,"there is a man laying on the floor and taking a picture of a plane"
COCO_train2014_000000272310.jpg,"A man laying on the ground to get a good shot of an antique airplane ."
COCO_train2014_000000027937.jpg,"A dog catching a Frisbee in some water outside"
COCO_train2014_000000027937.jpg,"Dog moving in brown colored water , holding dark yellow Frisbee , with Coca Cola red canopy and people on water bank ."
COCO_train2014_000000027937.jpg,"A brown dog carrying a yellow frisbee across a lake ."
COCO_train2014_000000027937.jpg,"a dog walking through water with a frisbee in its mouth"
COCO_train2014_000000027937.jpg,"A dog retrieving a frisbee from the water"
COCO_train2014_000000556822.jpg,"A snowboarder is midair after going off a jump ."
COCO_train2014_000000556822.jpg,"A man on a snow board several feet in the air ."
COCO_train2014_000000556822.jpg,"a snowboarder attempting a jump off a side of a short hill"
COCO_train2014_000000556822.jpg,"A man flying through the air while riding a snowboard ."
COCO_train2014_000000556822.jpg,"The snowboarder is jumping high above the ramp ."
COCO_train2014_000000241188.jpg,"A kitchen view with a double door fridge , cabinets , and an oven ."
COCO_train2014_000000241188.jpg,"Upgraded stainless steel appliances give a kitchen an open feel where a range hood would also help ."
COCO_train2014_000000241188.jpg,"View of kitchen , stainless steel stove and refrigerator ."
COCO_train2014_000000241188.jpg,"A brightly lit kitchen with stainless steel appliances ."
COCO_train2014_000000241188.jpg,"Kitchen with an island , counter top space , and silver appliances ."
COCO_train2014_000000046303.jpg,"A guy skateboarding at a neighborhood skate park ."
COCO_train2014_000000046303.jpg,"A man grinding his skateboard on a ledge ."
COCO_train2014_000000046303.jpg,"A male skateboarder is doing a trick on the street ."
COCO_train2014_000000046303.jpg,"A skateboarder wearing blue jeans and a dark jacket stands on a skateboard as half the skateboard hangs off of a platform ."
COCO_train2014_000000046303.jpg,"A man on a skateboard grinding on a rail ."
COCO_train2014_000000222639.jpg,"A man jumping into the air while holding a yellow frisbee ."
COCO_train2014_000000222639.jpg,"A man that is in the air with a frisbee ."
COCO_train2014_000000222639.jpg,"A man jumps and catches a Frisbee between his legs ."
COCO_train2014_000000222639.jpg,"A man jumping in the air to catch a frisbee in motion"
COCO_train2014_000000222639.jpg,"A man is flying through the air to catch his frisbee ."
COCO_train2014_000000568089.jpg,"A car near a toilet sitting on a sidewalk ."
COCO_train2014_000000568089.jpg,"an open toilet on the side walk of a street"
COCO_train2014_000000568089.jpg,"A toilet in the curb near a street ."
COCO_train2014_000000568089.jpg,"A toilet with the seat up is in the mulch bed around a tree with a BMW parked on the street ."
COCO_train2014_000000568089.jpg,"A white toilet is on the street by a pole ."
COCO_train2014_000000124578.jpg,"A man tossing a white frisbee on top of a green field ."
COCO_train2014_000000124578.jpg,"A group of men with a white frisbee ."
COCO_train2014_000000124578.jpg,"A group of men is playing a game of frisbee ."
COCO_train2014_000000124578.jpg,"A group of people are in the grass playing with a frisbee ."
COCO_train2014_000000124578.jpg,"a group of men playing with a frisbee"
COCO_train2014_000000490087.jpg,"A young woman looks delighted as she bites her pizza ."
COCO_train2014_000000490087.jpg,"A woman holding a piece of pizza about ready to take a bite"
COCO_train2014_000000490087.jpg,"A beautiful blond haired woman eating a giant slice of pizza ."
COCO_train2014_000000490087.jpg,"A woman with long hair eating a slice of pizza"
COCO_train2014_000000490087.jpg,"A girl smiles as she eats a slice of pizza in an airport ."
COCO_train2014_000000027227.jpg,"An older woman sitting on top of a park bench ."
COCO_train2014_000000027227.jpg,"A women who is sitting on a bench ."
COCO_train2014_000000027227.jpg,"A woman sits on a bench in a park ."
COCO_train2014_000000027227.jpg,"A person sitting on a bench at the park ."
COCO_train2014_000000027227.jpg,"a person in a blue jacket sitting on a bench grass and trees"
COCO_train2014_000000264598.jpg,"A little boy walking along a pond with his father ."
COCO_train2014_000000264598.jpg,"A child carefully walking along the edge of a pool with the assistance of an adult ."
COCO_train2014_000000264598.jpg,"A photo of a little boy walking on the side of a pond ."
COCO_train2014_000000264598.jpg,"A young boy is standing on the edge of a pond ."
COCO_train2014_000000264598.jpg,"A little boy in a hat is on the edge of a pond ."
COCO_train2014_000000542651.jpg,"A woman is playing an instrument for some girls ."
COCO_train2014_000000542651.jpg,"A black and white photo of a woman with a strange instrument on one end of a park bench and two young girls on the other end ."
COCO_train2014_000000542651.jpg,"a black and white photo of a woman and two girls on a bench"
COCO_train2014_000000542651.jpg,"Two girls are sitting next to a man with a large object ."
COCO_train2014_000000542651.jpg,"There is a woman and two girls sitting on the bench ."
COCO_train2014_000000237355.jpg,"A couple of people sitting next to each other on a train ."
COCO_train2014_000000237355.jpg,"A girl is talking on her phone while on the train ."
COCO_train2014_000000237355.jpg,"A woman is talking on a cell phone ."
COCO_train2014_000000237355.jpg,"a woman is talking on a cellphone sitting down"
COCO_train2014_000000237355.jpg,"A woman holds a paper bag on her lap and talks on the phone ."
COCO_train2014_000000302712.jpg,"The clock hangs on the wall next to the window ."
COCO_train2014_000000302712.jpg,"A room with chairs and a clock on the wall ."
COCO_train2014_000000302712.jpg,"Two stools sit in front of a window with a large clock on the wall ."
COCO_train2014_000000302712.jpg,"A kitchen with stools , table and a wall clock on the wall ."
COCO_train2014_000000302712.jpg,"A room containing a clock , two black stools , and a window with an orange curtain ."
COCO_train2014_000000231194.jpg,"A group of people riding horses on top of a beach ."
COCO_train2014_000000231194.jpg,"Several people on horses trot along the sand of a beach ."
COCO_train2014_000000231194.jpg,"People are riding several horses along the beach ,"
COCO_train2014_000000231194.jpg,"A group of people are riding their horses down the beach ."
COCO_train2014_000000231194.jpg,"Several people riding on horses at the beach ."
COCO_train2014_000000364458.jpg,"A woman in a purple jacket holding a bag ."
COCO_train2014_000000364458.jpg,"A person in a parka stands on the tarmac with a plane in the distance ."
COCO_train2014_000000364458.jpg,"Person in purple shirt standing in front of an airplane ."
COCO_train2014_000000364458.jpg,"a person wearing a purple jacket and a blue and white jet"
COCO_train2014_000000364458.jpg,"A person is standing on a airport runway watching a plane leave ."
COCO_train2014_000000117321.jpg,"A woman walking down a street talking on a cell phone ."
COCO_train2014_000000117321.jpg,"A woman is talking on her phone while walking down a crowded street ."
COCO_train2014_000000117321.jpg,"A woman is walking down a city street holding a cell phone ."
COCO_train2014_000000117321.jpg,"A woman is on a cell phone in the city ."
COCO_train2014_000000117321.jpg,"A woman walking down a busy street on the phone ."
COCO_train2014_000000086987.jpg,"A guy posing by a wall before a tall clock tower ."
COCO_train2014_000000086987.jpg,"A man leaning against a wall structure while posing ."
COCO_train2014_000000086987.jpg,"A man poses against a staircase with a clock tower in the distance ."
COCO_train2014_000000086987.jpg,"A man who is standing in front of a tower with a clock ."
COCO_train2014_000000086987.jpg,"The man is happy that he has found the view ."
COCO_train2014_000000330775.jpg,"Screen shot of a man and a horse on television ."
COCO_train2014_000000330775.jpg,"Man with white horse performing on television set ."
COCO_train2014_000000330775.jpg,"A trainer is running with the horse in a ground ."
COCO_train2014_000000330775.jpg,"A man leads an unruly white horse on a grassy surface ."
COCO_train2014_000000330775.jpg,"a tv with aman pulling a horse by a leash"
COCO_train2014_000000277575.jpg,"Skiers are lined up climbing to the top of the run ."
COCO_train2014_000000277575.jpg,"A group of people standing in the snow ."
COCO_train2014_000000277575.jpg,"Several people walking in the snow wearing snow gear ."
COCO_train2014_000000277575.jpg,"a number of people riding skis on a snowy surface"
COCO_train2014_000000277575.jpg,"A group of people in a line walking up a ski slope ."
COCO_train2014_000000509939.jpg,"A plane sits on the dock ready for takeoff ."
COCO_train2014_000000509939.jpg,"A water plane is against a dock in the water ."
COCO_train2014_000000509939.jpg,"A small plane is parked on the water by a dock"
COCO_train2014_000000509939.jpg,"A white airplane docked in the water ."
COCO_train2014_000000509939.jpg,"Float plane at a dock on a lake with a mountain in the background ."
COCO_train2014_000000147294.jpg,"A person riding a brown horse next to a white fence ."
COCO_train2014_000000147294.jpg,"A person rides a horse while another person looks on ."
COCO_train2014_000000147294.jpg,"a woman leads a horse while a person is riding it"
COCO_train2014_000000147294.jpg,"A girl is training another girl on a horse ."
COCO_train2014_000000147294.jpg,"female riding a brown horse while another female walk beside ."
COCO_train2014_000000008385.jpg,"A brown trunk sitting on a cart next to a red train ."
COCO_train2014_000000008385.jpg,"Antique luggage on a cart in front of an antique train ."
COCO_train2014_000000008385.jpg,"A buggy of luggage sitting outside a restaurant ."
COCO_train2014_000000008385.jpg,"a trunk is on a cart outside a train"
COCO_train2014_000000008385.jpg,"A truck and luggage sitting on a cart by the dining saloon car of a train ."
COCO_train2014_000000576950.jpg,"some kind of pizza that is on a rack"
COCO_train2014_000000576950.jpg,"A flat bread that is covered with various types of toppings ."
COCO_train2014_000000576950.jpg,"cooked homemade pizza sitting on a counter . It has mushrooms and hamburger on it ."
COCO_train2014_000000576950.jpg,"A pizza on flat bread is cooking on the grill"
COCO_train2014_000000576950.jpg,"Tortilla cooking over hot coals with meat onion and pepper filling ."
COCO_train2014_000000078364.jpg,"A man that is on a dirt bike in the air ."
COCO_train2014_000000078364.jpg,"A person on a motor bike up in the air ."
COCO_train2014_000000078364.jpg,"The motorcycle rider with a helmet is jumping in the air ."
COCO_train2014_000000078364.jpg,"A BMX motorcycle rider doing a jump over a hill ."
COCO_train2014_000000078364.jpg,"a man rides on a motor bike as he is in the air"
COCO_train2014_000000512533.jpg,"A group of people riding on the back of an elephant ."
COCO_train2014_000000512533.jpg,"Four people ride on top of an elephant"
COCO_train2014_000000512533.jpg,"there are many people that are riding a elephant"
COCO_train2014_000000512533.jpg,"A group of people riding on top of a large elephant ."
COCO_train2014_000000512533.jpg,"Several people sit on top of an elephant as another person watches ."
COCO_train2014_000000516581.jpg,"The modern motorcycle is parked on a sunny day ."
COCO_train2014_000000516581.jpg,"A bike sitting outside in the grass by some trees ."
COCO_train2014_000000516581.jpg,"A motor bike parked on a grass field ."
COCO_train2014_000000516581.jpg,"A motorcycle that is sitting in the grass ."
COCO_train2014_000000516581.jpg,"An artistic photo of a dirt bike in front of trees ."
COCO_train2014_000000086032.jpg,"A man is riding a motorcycle with his dog ."
COCO_train2014_000000086032.jpg,"A man riding a motorcycle down the street holding a dog ."
COCO_train2014_000000086032.jpg,"a vintage photo of some people sitting on motor bikes"
COCO_train2014_000000086032.jpg,"A man riding on the back of a motorcycle down a street ."
COCO_train2014_000000086032.jpg,"A man on a motorcycle with a dog sitting in front of him"
COCO_train2014_000000251702.jpg,"A bowl filled with carrots and broccoli topped with a spoon ."
COCO_train2014_000000251702.jpg,"A red bowl holds baby carrots and broccoli with a spoon ."
COCO_train2014_000000251702.jpg,"A healthy bowl of broccoli and carrots is on a table ."
COCO_train2014_000000251702.jpg,"A brown bowl of broccoli and carrots with a spoon ."
COCO_train2014_000000251702.jpg,"Broccoli and carrots in a red bowl with a ladel"
COCO_train2014_000000106104.jpg,"A couple of pizzas sitting on top of an orange plate ."
COCO_train2014_000000106104.jpg,"Sandwich and soup on plates sitting on table ."
COCO_train2014_000000106104.jpg,"A plate with with two pieces of pizza bread and a bowl of soup on the side ."
COCO_train2014_000000106104.jpg,"there are two pieces of bread on a yellow plate"
COCO_train2014_000000106104.jpg,"The lunch special features a soup and sandwich combo ."
COCO_train2014_000000064953.jpg,"an orange work truck is near a car"
COCO_train2014_000000064953.jpg,"A police car driving by a construction truck ."
COCO_train2014_000000064953.jpg,"A red bull dozer truck is in the street ."
COCO_train2014_000000064953.jpg,"A dump truck with a blade on it and a police car"
COCO_train2014_000000064953.jpg,"a red dump truck with a shovel on the front passing a police car"
COCO_train2014_000000046660.jpg,"An elephant paints a picture near an audience ."
COCO_train2014_000000046660.jpg,"an elephant is painting a picture in front of an audience ."
COCO_train2014_000000046660.jpg,"There is an elephant in a circus show"
COCO_train2014_000000046660.jpg,"An elephant that is painting on a sheet of paper ."
COCO_train2014_000000046660.jpg,"A large gray elephant standing in front of a picture as it paints ."
COCO_train2014_000000249176.jpg,"This is a tennis star making a wining shot ."
COCO_train2014_000000249176.jpg,"A man taking an awkward swing at a tennis ball ."
COCO_train2014_000000249176.jpg,"a person hitting a tennis ball with a tennis racket"
COCO_train2014_000000249176.jpg,"A white-clad tennis player hitting a tennis ball with a racket during a tournament ."
COCO_train2014_000000249176.jpg,"A professional tennis player hitting a ball ."
COCO_train2014_000000492244.jpg,"An old car stopped at a railroad crossing with a train going by ."
COCO_train2014_000000492244.jpg,"A car waiting for a train to pass ."
COCO_train2014_000000492244.jpg,"The car is waiting for the train to pass before crossing ."
COCO_train2014_000000492244.jpg,"A car stopped at a railroad crossing waiting for the train to go by ."
COCO_train2014_000000492244.jpg,"An old-fashioned cars waits at a stop while a train passes ."
COCO_train2014_000000171435.jpg,"A bed covered in clothing , a dog and a laptop computer ."
COCO_train2014_000000171435.jpg,"A bed with a laptop computer , a dog and some clothes on it ."
COCO_train2014_000000171435.jpg,"Messy bed with at least two black dogs and a laptop ."
COCO_train2014_000000171435.jpg,"A messy bed with a computer , sleeping dog and piles of clothes ."
COCO_train2014_000000171435.jpg,"open laptop computer on a bad with wrinkled clothes"
COCO_train2014_000000445346.jpg,"A pizza sitting on top of a table covered in toppings ."
COCO_train2014_000000445346.jpg,"A sliced pizza on a table in a room ."
COCO_train2014_000000445346.jpg,"This pizza has many different toppings on it"
COCO_train2014_000000445346.jpg,"The homemade pizza is ready to be eaten ."
COCO_train2014_000000445346.jpg,"Large extra cheesy pizza with assorted toppings waiting to be eaten ."
COCO_train2014_000000301136.jpg,"A man is performing a jump on his snowboard ."
COCO_train2014_000000301136.jpg,"A hill that is covered in snow used for skiing ."
COCO_train2014_000000301136.jpg,"A young guy snow boarding flies off if a jumo at the end ."
COCO_train2014_000000301136.jpg,"People on a slope snowboard and skiing next to trees ."
COCO_train2014_000000301136.jpg,"A snowy hill at a ski resort with several people skiing ."
COCO_train2014_000000434484.jpg,"A group of motorcycles that are sitting on the street ."
COCO_train2014_000000434484.jpg,"Many motorcycles parked on the curb in a small town"
COCO_train2014_000000434484.jpg,"There are a row of motorcycles parked on the side of the road ."
COCO_train2014_000000434484.jpg,"A group of motorcycles are parked on a street for the fair ."
COCO_train2014_000000434484.jpg,"Parked motorcycles and pedestrians on a restaurant lined street ."
COCO_train2014_000000548175.jpg,"A group of commuter standing on a train loading platform ."
COCO_train2014_000000548175.jpg,"People looking at their smartphones while waiting at a public transit station ."
COCO_train2014_000000548175.jpg,"Several commuters standing in line and waiting for a train ."
